"","b","hub","c"
"Solyc07g041970",0.0041198007032114,210,5
"Solyc11g018690",0.000402175435076256,12,3
"Solyc07g049370",0.00374955781761953,181,1
"Solyc03g118780",0.00327294010183474,179,1
"Solyc07g063850",0.00514129868599551,196,2
"Solyc03g007050",0.00431269152405594,218,2
"Solyc07g054560",0.000176821360773984,12,4
"Solyc06g007610",0.00142839048816368,180,2
"Solyc01g111300",0.0029447680082682,77,1
"Solyc05g014750",7.10786228270604e-05,84,2
"Solyc03g118220",0.000230792307323172,128,2
"Solyc09g075360",0.00353165848806601,196,2
"Solyc03g117480",0.00529449948261687,169,1
"Solyc02g078040",0.00610464991825115,213,1
"Solyc12g094620",0.00708923452030147,4,3
"Solyc11g039880",4.40557323950045e-05,62,2
"Solyc04g079570",0,2,3
"Solyc05g013260",0.0043883648142879,3,1
"Solyc08g029050",0,1,5
"Solyc10g081700",0,1,3
"Solyc06g024260",0,1,1
"Solyc06g054240",0.00806965672577666,19,1
"Solyc10g076920",0,2,3
"Solyc06g068170",0.000273320009556511,88,2
"Solyc05g012280",0.000187103150740239,11,4
"Solyc06g063120",1.38372452454471e-05,2,1
"Solyc06g071650",0.0043883648142879,3,3
"Solyc02g077170",2.46530593003486e-06,3,1
"Solyc03g117500",0.000628618939280695,171,2
"Solyc08g062970",0.0021777670774147,3,3
"Solyc04g014730",6.23019490481258e-05,11,4
"Solyc04g076240",0.00435795277830915,24,2
"Solyc02g086270",0.0131213202302524,4,3
"Solyc03g007710",0.000484939854708161,70,2
"Solyc06g071540",0.000418849187315313,136,2
"Solyc12g010480",6.41214695746321e-05,4,4
"Solyc02g066980",0.000491134581172325,109,2
"Solyc03g111500",5.17601604554942e-05,95,2
"Solyc03g115780",0.000145260520156328,38,2
"Solyc02g090480",0.000408365325670667,154,2
"Solyc02g090720",0.000746604273150141,108,2
"Solyc08g007420",0.0147979773427522,17,3
"Solyc03g025790",9.21603522883713e-05,49,1
"Solyc07g008090",0,4,2
"Solyc03g006900",0.00350639493120517,184,2
"Solyc04g054500",0,2,3
"Solyc07g049400",0,2,3
"Solyc09g005660",0.000712344025033396,140,2
"Solyc06g051840",0,3,7
"Solyc02g070600",0.0293525156588052,24,4
