"","genes","sd","mean","cof","P3_m_1","P3_m_2","P3_m_3","P4_d_1","P4_d_2,","P4_d_3","P4_p_1","P4_p_2","P4_p_3","P5_d_1","P5_d_2","P5_d_3","P5_p_1","P5_p_2","P5_p_3","P6_d_1","P6_d_2","P6_d_3","P6_p_1","P6_p_2","P6_p_3"
"25857","pen_Solyc09g089610.2.1",6.88694415054849,6.33121070591346,1.08777680454008,24.6655569990341,17.9042187753718,14.2105613835432,5.06601334983353,5.41606813426382,8.68711328805035,8.3176321183933,5.76541257777228,19.0056655934616,1.1326939078472,0,0,3.27202578987601,2.0164062405259,3.55364700617571,1.17601719169126,2.86914065554161,3.54063142139728,2.51439211435215,1.27403154213857,2.56819673491296
"43347","hab_Solyc12g089240.1.1",8.30346047070768,7.63722927635398,1.08723467245071,4.91748063363017,2.90741101564112,23.0007111741092,4.15292301629023,4.7170195049222,13.5039765921189,2.85970594165565,6.54072598217285,33.7472420073294,0.808605879737689,2.46211297126525,14.1454410289638,3.12608846177158,7.74796822174751,15.8660619393505,0.776545150913945,3.940800277364,4.86365025713003,0,2.99063287720979,7.30671187010986
"5095","lyc_Solyc04g007000.1.1",20.3568575974223,18.7281765642919,1.08696420751584,3.71186405242565,19.224633456029,17.696981684683,2.71396121028627,17.1479665683834,12.9266898606806,4.32785750072067,6.94774268365742,48.1056057037146,1.17848145772477,3.96283929600865,17.9617571329942,2.79514689177529,6.37887594711211,31.8165860647721,10.0477823856458,22.6726878289848,76.8340079231301,5.92652533514797,19.482754144854,61.430960721399
"40627","hab_Solyc09g097890.2.1",11.8422415621656,10.8963800240504,1.08680511656417,2.7319336853501,0,0,6.22938452443534,11.0063788448185,0,0.953235313885218,0.817590747771606,0,20.2151469934422,14.7726778275915,12.7308969260674,8.75304769296043,3.52180373715796,4.44249734301813,38.8272575456973,40.393202842981,22.6970345332735,17.5605810514378,11.2148732895367,11.9564376056343
"21856","pen_Solyc06g009050.2.1",21.3268681698706,19.6244239649685,1.08675129562738,1.4948822423657,1.55688858916277,0.645934608342873,6.7546844664447,6.49928176111659,8.68711328805035,2.97058289942618,2.47089110475955,1.31073555816976,19.2557964334024,31.0008182356779,21.0211285646541,10.7509418810212,11.0902343228925,10.6609410185271,50.568739242724,81.2923185736788,47.2084189519637,17.6007448004651,43.3170724327114,35.9547542887814
"31535","hab_Solyc02g072240.2.1",5.65527479898949,5.20426616245978,1.08666133177104,0.546386737070019,0,0.766690372470305,4.8450768523386,2.3585097524611,0.964569756579924,0,1.63518149554321,1.34988968029318,4.85163527842614,9.84845188506098,3.53636025724095,2.50087076941727,5.63488597945274,2.53856991029608,16.3074481691928,22.659601594843,7.29547538569504,7.36411463447392,8.97189863162937,5.31397226917081
"16971","pen_Solyc02g069020.2.1",14.3389067865317,13.1968453007534,1.0865404920457,0.747441121182852,2.33533288374415,1.29186921668575,1.68867111661118,9.74892264167488,3.61963053668764,1.18823315977047,4.9417822095191,0.655367779084882,12.4596329863192,6.7393083121039,21.0211285646541,7.94634834684173,8.06562496210361,14.925317425938,29.4004297922814,54.5136724552905,42.4875770567674,18.8579408576411,21.6585362163557,12.8409836745648
"17168","pen_Solyc02g077170.1.1",6.10545630688093,5.62266603268439,1.08586500983521,20.180910271937,21.0179959536973,10.334953733486,9.28769114136146,3.24964088055829,2.89570442935012,9.50586527816377,10.7071947872914,7.86441334901859,1.1326939078472,4.04358498726234,3.31912556284013,5.60918706835887,3.02460936078885,1.42145880247029,0,1.91276043702774,0,0,0,2.56819673491296
"17342","pen_Solyc02g080600.1.1",10.700498768206,9.8581240086416,1.08544980351495,1.4948822423657,0.778444294581383,0.645934608342873,5.91034890813911,4.33285450741106,2.89570442935012,0,0.823630368253183,2.62147111633953,7.92885735493042,18.8700632738909,13.2765022513605,3.27202578987601,7.05742184184066,2.84291760494057,32.9284813673552,36.342448303527,21.2437885283837,7.54317634305646,21.6585362163557,14.5531148311734
"18908","pen_Solyc03g111140.2.1",47.4611232531846,43.7274761795601,1.08538446303859,20.9283513931199,23.3533288374415,207.990943886405,7.59902002475029,8.66570901482211,52.1226797283021,12.4764481775899,10.7071947872914,133.695026933316,23.7865720647913,25.6093715859948,22.1275037522675,74.321728655755,13.1066405634184,34.825740660522,51.7447564344153,27.7350263369022,16.5229466331873,49.030646229867,47.1391670591272,54.7881970114765
"3074","lyc_Solyc02g086820.2.1",342.687100252134,316.09798381082,1.08411669103599,34.644064489306,794.060947096851,4.08391885031146,95.667132662591,205.7755988206,87.0850685351111,509.965875501586,672.036201401045,6.18500644762045,202.69881072866,202.104804096441,372.298238756608,94.1032786897681,28.4149928553176,38.3670596663428,772.562823429654,915.004901669743,1142.00290408823,145.79252324464,115.552886652238,199.650622344547
"26293","pen_Solyc10g009340.1.1",11.6635378806706,10.7635735375153,1.08361204018523,1.4948822423657,3.11377717832553,4.52154225840011,7.59902002475029,5.41606813426382,5.79140885870023,1.78234973965571,4.11815184126592,3.27683889542441,11.326939078472,21.5657865987325,6.63825112568026,3.27202578987601,4.03281248105181,2.13218820370543,38.8085673258114,29.6477867739299,12.98231521179,11.3147645145847,39.4949778062957,7.70459020473888
"16673","pen_Solyc02g030460.2.1",35.4159572309992,32.6878858726575,1.08345817679888,103.146874723234,93.4133153497659,92.3686489930308,36.3064290071403,19.4978452833498,24.613487649476,80.2057382845068,56.0068650412165,74.7119268156766,9.06155126277762,4.04358498726234,0,33.1876901544566,10.0820312026295,27.0077172469354,0,6.69466152959708,0,5.0287842287043,7.64418925283143,3.42426231321728
"17346","pen_Solyc02g080640.2.1",101.327608786305,93.5297354422971,1.08337320005378,29.1502037261312,32.6946603724181,19.3780382502862,47.2827912651129,72.5753129991352,39.0920097962266,30.8940621540322,42.8287791491655,24.2486078261406,88.3501248120818,180.613462764385,49.7868834426019,57.4941674506784,53.4347653739364,32.6935524568166,285.772177580975,276.393883150508,66.0917865327492,103.090076688438,386.031557267987,46.2275412284333
"36923","hab_Solyc06g068040.2.1",7.71640414976354,7.12373295640716,1.08319671680328,1.09277347414004,0.969137005213706,0.766690372470305,6.22938452443534,6.28935933989627,4.82284878289962,0,2.45277224331482,0,8.89466467711458,8.20704323755082,4.24363230868915,3.12608846177158,7.74796822174751,1.90392743272206,27.1790802819881,28.570802010889,10.5379088904484,6.79764427797592,10.4672150702343,9.29945147104892
"12245","lyc_Solyc10g078260.1.1",21.1566365251384,19.5325342227385,1.08314857068108,0.618644008737608,10.866097170799,2.72261256687431,13.5698060514313,22.8639554245111,14.9677461544722,5.77047666762756,8.21096862614058,4.12333763174697,15.320258950422,15.8513571840346,14.6959831088135,6.98786722943822,7.53867157385977,8.42203748773378,53.0299625909084,81.7836239545522,65.6700922419916,18.3722285389587,17.4672968195243,21.3301946949302
"20375","pen_Solyc04g076240.1.1",8.11032799599531,7.49040387800899,1.08276244219706,11.2116168177428,16.347330186209,16.7942998169147,15.1980400495006,5.41606813426382,2.17177832201259,27.3293626747208,14.8253466285573,20.3164011516313,1.1326939078472,1.34786166242078,0,8.88121285823487,6.04921872157771,7.10729401235143,0,1.91276043702774,0,1.25719605717608,0,0
"23077","pen_Solyc07g007050.1.1",11.6973570737081,10.8083785858873,1.08224901457297,3.73720560591426,0,0.645934608342873,1.68867111661118,14.0817771490859,2.17177832201259,1.78234973965571,3.29452147301273,0,21.5211842490969,25.6093715859948,1.10637518761338,4.20689030126915,10.0820312026295,0,29.4004297922814,21.0403648073051,7.08126284279456,31.4299014294019,34.3988516377414,13.6970492528691
"20459","pen_Solyc04g077850.2.1",38.7517462424428,35.8153523093966,1.08198701796034,13.4539401812913,10.8982201241394,16.1483652085718,11.8206978162782,9.74892264167488,16.6503004687632,7.72351553850806,9.05993405078501,17.0395622562069,23.7865720647913,36.3922648853611,46.4677578797618,10.2835096253246,14.1148436836813,15.6360468271731,34.1044985590464,136.762371247483,99.1376797991239,37.7158817152823,128.677185755996,56.5003281680851
"21029","pen_Solyc05g010010.1.1",8.48204422908398,7.83938111212329,1.08197880773609,26.9078803625827,20.2395516591159,11.6268229501717,15.1980400495006,8.66570901482211,5.0674827513627,26.7352460948356,14.0017162603041,7.2090455699337,3.39808172354161,0,0,10.2835096253246,3.02460936078885,2.84291760494057,0,4.78190109256934,0,2.51439211435215,1.27403154213857,0.85606557830432
"28982","pen_Solyc04g008210.1.1",128.010955247556,118.337441221637,1.08174516810619,8.22185233301137,2.33533288374415,0.645934608342873,9.28769114136146,57.4103222231965,37.6441575815515,2.37646631954094,11.5308251555446,2.62147111633953,90.6155126277762,252.050130872686,216.849536772222,20.5670192506492,107.877733868136,79.601692938336,192.866819437366,392.115889590686,318.656827925755,125.719605717608,369.469147220186,186.622296070342
"40211","hab_Solyc09g065670.2.1",6.72308380861031,6.21605340430315,1.08156789707697,15.2988286379605,12.5987810677782,29.9009245263419,1.38430767209674,1.57233983497407,2.89370926973977,7.62588251108174,8.17590747771606,10.1241726021988,1.61721175947538,3.28281729502033,1.41454410289638,4.37652384648021,4.93052523202114,8.88499468603626,1.55309030182789,2.955600208023,2.43182512856501,4.53176285198395,2.99063287720979,1.99273960093905
