"","genes","pen$tagwise.dispersion"
"15029","Solyc09g010400.2.1",0.21181810979804
"19585","Solyc12g042950.1.1",0.0738747540964717
"17787","Solyc11g010270.1.1",0.0792047999361176
"9849","Solyc05g053670.2.1",0.116897333535266
"11310","Solyc06g072490.2.1",0.197120546638227
"7390","Solyc04g011500.2.1",0.466913607284313
"10024","Solyc05g056050.2.1",0.728085331613796
"13604","Solyc08g016180.2.1",0.1260445426058
"5455","Solyc03g044330.1.1",0.155485388248701
"11352","Solyc06g073180.2.1",0.277274539145982
"7298","Solyc04g009200.2.1",0.232726312481488
"16396","Solyc10g008740.2.1",0.223745952730169
"10082","Solyc06g005160.2.1",0.269761291789622
"15822","Solyc09g083080.2.1",0.345612165702304
"1711","Solyc01g096580.2.1",0.143768828406519
"7806","Solyc04g051800.2.1",0.697103594002086
"1721","Solyc01g096700.2.1",0.0708376886263298
"6740","Solyc03g119040.2.1",0.157753810245271
"2647","Solyc01g110440.2.1",0.174288172658062
"8310","Solyc04g077490.2.1",0.889696757953075
"8665","Solyc04g082250.2.1",0.34800938695874
"8669","Solyc04g082290.2.1",0.680166477890844
"273","Solyc01g006430.2.1",0.0842073122317992
"13063","Solyc07g063960.2.1",0.339776598735854
"17135","Solyc10g081020.1.1",0.11720830979734
"3699","Solyc02g077990.2.1",0.226351206380901
"19826","Solyc12g088180.1.1",0.0759216657254818
"11857","Solyc07g005510.2.1",0.363577149112573
"10635","Solyc06g053450.2.1",0.0822304503100862
"4947","Solyc03g005230.2.1",0.385851295512695
"8518","Solyc04g080240.2.1",0.104219514957387
"10598","Solyc06g051810.2.1",0.0790406981585708
"14927","Solyc09g009020.2.1",0.16369474627244
"8257","Solyc04g076850.2.1",0.146062956112396
"10750","Solyc06g060340.2.1",0.423515349668304
"6193","Solyc03g111840.2.1",0.222846773007936
"15035","Solyc09g010460.2.1",0.100386773626577
"5134","Solyc03g007810.2.1",0.172652864272686
"10413","Solyc06g035970.2.1",0.171844507206911
"1002","Solyc01g079250.2.1",0.0484801918972337
"10913","Solyc06g064630.2.1",0.153104517019132
"19183","Solyc12g010840.1.1",0.130804629051737
"13773","Solyc08g061960.2.1",0.0931633768177611
"17812","Solyc11g010600.1.1",0.0787053785683886
"12446","Solyc07g043130.2.1",0.413996773227785
"4243","Solyc02g085420.2.1",0.0832437181730672
"19624","Solyc12g044600.2.1",0.0983441665099347
"14360","Solyc08g078530.2.1",0.115632903885493
"6611","Solyc03g117480.2.1",0.612525589633488
"9776","Solyc05g052600.2.1",0.445595907760252
"15741","Solyc09g075830.2.1",0.0762383414494188
"5976","Solyc03g096800.2.1",0.109868429635013
"5836","Solyc03g083970.2.1",0.178259899441178
"3585","Solyc02g072130.2.1",0.0771509833792033
