"","genes","bcv"
"15684","lyc_Solyc02g092580.2.1",1.372994317
"33798","pen_Solyc05g046290.2.1",1.37176820778949
"25435","pen_Solyc02g083520.2.1",1.37164340711033
"41028","hab_Solyc09g092040.2.1",1.371140521
"31707","pen_Solyc07g055100.2.1",1.37028103447301
"34125","pen_Solyc09g025230.2.1",1.36816282731929
"14184","lyc_Solyc11g012930.1.1",1.364333332
"41676","hab_Solyc01g087970.2.1",1.362739334
"48754","hab_Solyc10g006740.2.1",1.360955076
"45334","hab_Solyc06g072480.1.1",1.359854708
"19736","pen_Solyc09g082760.2.1",1.3589135225556
"30940","pen_Solyc01g081640.2.1",1.35813227090035
"27498","pen_Solyc03g098790.1.1",1.35800955446076
"36663","hab_Solyc03g123410.1.1",1.357059189
"51660","hab_Solyc01g006790.2.1",1.356273215
"33444","pen_Solyc06g068960.1.1",1.35564728522785
"33579","pen_Solyc10g083860.1.1",1.35420949389693
"10631","lyc_Solyc08g076900.2.1",1.353782867
"48890","hab_Solyc05g013530.2.1",1.353389965
"29127","pen_Solyc08g075540.2.1",1.35302841084053
"52213","hab_Solyc07g062210.2.1",1.352963735
"28343","pen_Solyc08g076900.2.1",1.35149696243183
"19603","pen_Solyc10g079860.1.1",1.35039888462326
"33222","pen_Solyc11g068710.1.1",1.34949962741285
"25078","pen_Solyc06g066420.2.1",1.34885694657758
"50432","hab_Solyc06g071650.1.1",1.348831052
"32618","pen_Solyc01g096340.2.1",1.34685630811077
"20453","pen_Solyc02g030460.2.1",1.34648895834638
"50489","hab_Solyc04g040220.2.1",1.344662945
"15209","lyc_Solyc02g084900.2.1",1.344106489
"21239","pen_Solyc07g061720.2.1",1.34289839727611
"13190","lyc_Solyc03g121240.1.1",1.342310346
"25305","pen_Solyc03g006040.2.1",1.34003953691622
"25370","pen_Solyc03g113210.2.1",1.33997218968196
"33629","pen_Solyc03g080170.2.1",1.33780662139201
"28456","pen_Solyc10g007800.2.1",1.33510470656192
"49142","hab_Solyc08g066880.2.1",1.334387602
"10841","lyc_Solyc10g086770.1.1",1.333169346
"34637","pen_Solyc04g079570.1.1",1.33282496496122
"11817","lyc_Solyc04g078140.2.1",1.330263136
"45737","hab_Solyc08g062220.2.1",1.328242151
"51499","hab_Solyc10g081700.1.1",1.32772742
"33948","pen_Solyc01g006790.2.1",1.3255880070201
"34704","pen_Solyc03g007880.1.1",1.32510047807926
"29575","pen_Solyc07g032490.2.1",1.32235471357519
"28869","pen_Solyc03g097590.2.1",1.32218008440297
"34576","pen_Solyc07g064260.2.1",1.32190174392565
"51458","hab_Solyc01g103700.2.1",1.321382839
"28998","pen_Solyc12g011360.1.1",1.32082191722179
"26962","pen_Solyc11g071470.1.1",1.31495967404406
"34588","pen_Solyc08g008360.2.1",1.31329522430083
"32802","pen_Solyc06g048850.2.1",1.31263080663188
"16799","lyc_Solyc03g115920.2.1",1.310068539
"31517","pen_Solyc01g096280.1.1",1.30728478381266
"8831","lyc_Solyc05g013630.1.1",1.305455091
"52750","hab_Solyc02g014470.2.1",1.305002767
"22641","pen_Solyc07g061730.2.1",1.30417450608995
"18963","pen_Solyc02g086460.2.1",1.30290549683067
"27823","pen_Solyc03g006900.1.1",1.30085300600458
"9421","lyc_Solyc12g088170.1.1",1.300044474
"29498","pen_Solyc08g083060.2.1",1.29799000114646
"28218","pen_Solyc09g011710.2.1",1.29589446610171
"30138","pen_Solyc06g074160.1.1",1.29585068660882
"27459","pen_Solyc02g079500.2.1",1.29547753853251
"31204","pen_Solyc01g109150.2.1",1.28744805571861
"27760","pen_Solyc04g054800.2.1",1.28661274699084
"32056","pen_Solyc04g014830.1.1",1.28610535220746
"20398","pen_Solyc07g055180.2.1",1.28586242181156
"45335","hab_Solyc09g097870.2.1",1.285818443
"26687","pen_Solyc08g077940.1.1",1.28320124492299
"31115","pen_Solyc12g005310.1.1",1.28305035991673
"12164","lyc_Solyc04g045310.2.1",1.282737273
"23316","pen_Solyc09g092040.2.1",1.28211171932261
"31269","pen_Solyc01g108900.2.1",1.28147318775757
"23794","pen_Solyc03g005460.2.1",1.28030410734364
"30993","pen_Solyc10g055780.1.1",1.27903478471321
"51462","hab_Solyc04g064710.2.1",1.277816744
"44279","hab_Solyc01g006560.2.1",1.277298863
"32350","pen_Solyc06g054240.2.1",1.27346491763099
"38239","hab_Solyc03g111140.2.1",1.272456957
"32026","pen_Solyc02g081350.2.1",1.27197576977136
"28004","pen_Solyc07g006020.2.1",1.27022305565836
"33862","pen_Solyc03g006410.2.1",1.26868715576056
"42944","hab_Solyc04g007210.2.1",1.268298198
"12154","lyc_Solyc04g078340.2.1",1.266286425
"32176","pen_Solyc04g074350.2.1",1.26561180076098
"2256","lyc_Solyc09g072770.1.1",1.263341624
"12513","lyc_Solyc02g087110.2.1",1.262486227
"31103","pen_Solyc06g069600.1.1",1.2623782857471
"52121","hab_Solyc07g044970.1.1",1.259858889
"31724","pen_Solyc06g076870.2.1",1.25932270547582
"32241","pen_Solyc05g055740.2.1",1.25769742599719
"42790","hab_Solyc06g066420.2.1",1.257094816
"21936","pen_Solyc08g082120.2.1",1.25644942844183
"52015","hab_Solyc10g074920.1.1",1.255926503
"30991","pen_Solyc04g050440.2.1",1.2544163130529
"31750","pen_Solyc03g013160.2.1",1.25035781363193
"30502","pen_Solyc12g005350.1.1",1.24959209304751
"34005","pen_Solyc04g054500.2.1",1.24664173242679
"17267","lyc_Solyc02g083490.2.1",1.246556986
"34525","pen_Solyc02g080040.2.1",1.24583528407601
"51910","hab_Solyc12g013620.1.1",1.245783167
"34671","pen_Solyc09g011350.1.1",1.24493642041212
"30774","pen_Solyc02g077840.1.1",1.2448274099859
"51933","hab_Solyc02g082060.1.1",1.244825294
"49476","hab_Solyc01g087050.2.1",1.244534448
"4175","lyc_Solyc08g082980.2.1",1.243927806
"30013","pen_Solyc06g075660.2.1",1.24283405621426
"22784","pen_Solyc08g065490.2.1",1.24267703192622
"5434","lyc_Solyc02g092860.2.1",1.242455394
"30528","pen_Solyc08g014190.2.1",1.24059303183634
"32588","pen_Solyc02g077240.2.1",1.24035395628453
"14854","lyc_Solyc11g069540.1.1",1.240318867
"31856","pen_Solyc06g069240.1.1",1.2402291652225
"28877","pen_Solyc05g050090.2.1",1.23946006579913
"27834","pen_Solyc06g065630.2.1",1.23911046674147
"45607","hab_Solyc09g072700.2.1",1.23723921
"21058","pen_Solyc10g005100.2.1",1.23719642866187
"47845","hab_Solyc11g031960.1.1",1.235062501
"33922","pen_Solyc08g069060.2.1",1.23473993371425
"9673","lyc_Solyc10g007830.1.1",1.232848005
"49166","hab_Solyc04g011330.1.1",1.23262886
"33586","pen_Solyc10g009620.1.1",1.23242371376182
"29513","pen_Solyc04g076240.1.1",1.23093262422061
"14095","lyc_Solyc07g043410.1.1",1.230218188
