,genes,bcv
4979,Solyc03g005750.2.1,0.056711715
11144,Solyc06g069120.2.1,0.115915037
6949,Solyc03g121600.2.1,0.123531857
16692,Solyc10g049710.1.1,0.223072849
16126,Solyc09g098540.2.1,0.06003525
1530,Solyc01g094340.2.1,0.347560034
12075,Solyc07g008370.2.1,0.057075066
7238,Solyc04g008460.2.1,0.068896604
6683,Solyc03g118290.2.1,0.055666272
11665,Solyc06g082670.2.1,0.075062732
19831,Solyc12g088290.1.1,0.035025685
14928,Solyc09g009030.2.1,0.040926651
14110,Solyc08g075090.2.1,0.050703931
13100,Solyc07g064510.2.1,0.053485222
9479,Solyc05g025600.1.1,0.110776264
8776,Solyc05g005620.2.1,0.076754262
2471,Solyc01g108030.2.1,0.473621592
4511,Solyc02g089070.2.1,0.052709522
17737,Solyc11g008620.1.1,0.786338006
1047,Solyc01g079790.2.1,0.59147939
9769,Solyc05g052510.2.1,0.033203401
18454,Solyc11g066110.1.1,0.201926883
11345,Solyc06g073090.2.1,0.467576279
17045,Solyc10g079820.1.1,0.098155861
8571,Solyc04g080960.2.1,0.04591612
8017,Solyc04g071660.2.1,0.062692266
16408,Solyc10g008910.1.1,0.181171275
3750,Solyc02g078640.2.1,0.049335062
12793,Solyc07g054820.2.1,0.353124631
9837,Solyc05g053470.2.1,0.054002454
6888,Solyc03g120850.2.1,0.263652215
1955,Solyc01g099830.2.1,0.074654266
1785,Solyc01g097520.2.1,0.228819125
11005,Solyc06g066060.2.1,0.025365004
17781,Solyc11g010200.1.1,0.043202646
19951,Solyc12g096000.1.1,0.030269015
13731,Solyc08g060810.2.1,0.143626745
17423,Solyc10g086150.1.1,0.56392673
5815,Solyc03g083530.2.1,0.041778575
970,Solyc01g073750.2.1,0.172473855
15671,Solyc09g074940.1.1,0.094203817
11365,Solyc06g073330.2.1,0.028424359
13952,Solyc08g067330.1.1,0.264851917
8784,Solyc05g005710.2.1,0.029415462
17685,Solyc11g007920.1.1,0.185040577
19987,Solyc12g096500.1.1,0.239332713
14560,Solyc08g081320.2.1,0.044364215
6173,Solyc03g111610.2.1,0.954181082
5981,Solyc03g096850.2.1,0.274206212
11000,Solyc06g066000.1.1,0.375119059
14709,Solyc08g083330.2.1,0.204801927
15701,Solyc09g075290.2.1,0.062075103
18148,Solyc11g030600.2.1,0.06421443
5071,Solyc03g007050.2.1,0.16616746
896,Solyc01g067660.2.1,0.185946649
11830,Solyc07g005100.2.1,0.211240993
3523,Solyc02g071180.2.1,0.055388088
6748,Solyc03g119130.2.1,0.070925066
6603,Solyc03g117360.2.1,0.067094941
2040,Solyc01g100870.2.1,0.057079966
15257,Solyc09g020130.2.1,0.034032724
7449,Solyc04g014720.2.1,0.060536357
2610,Solyc01g109940.2.1,0.034397052
17462,Solyc10g086730.1.1,0.435720938
15475,Solyc09g064590.2.1,0.03525939
19211,Solyc12g011280.1.1,0.199058106
6215,Solyc03g112230.2.1,0.136766013
13750,Solyc08g061320.2.1,0.037280153
9085,Solyc05g009930.2.1,0.297915674
2039,Solyc01g100860.2.1,0.067780227
7391,Solyc04g011510.2.1,0.036195946
18202,Solyc11g040370.1.1,0.068136159
14323,Solyc08g078010.2.1,0.460050003
12612,Solyc07g049720.2.1,0.048824224
4697,Solyc02g091840.2.1,0.099345342
13292,Solyc08g005270.2.1,0.063211152
2189,Solyc01g103800.2.1,0.045744527
19785,Solyc12g062870.1.1,0.06421212
18514,Solyc11g066870.1.1,0.09268098
5624,Solyc03g065250.2.1,0.141509805
15815,Solyc09g082990.2.1,0.031857312
9939,Solyc05g054920.2.1,0.087246648
18338,Solyc11g062010.1.1,0.125377916
18842,Solyc11g073260.1.1,0.207787555
8493,Solyc04g079970.2.1,0.05730374
11978,Solyc07g007120.2.1,0.13235511
18172,Solyc11g039650.1.1,0.021630055
8646,Solyc04g081970.2.1,0.58608341
14411,Solyc08g079180.2.1,0.279291967
15183,Solyc09g015080.2.1,0.141709399
9132,Solyc05g010810.1.1,0.160461555
1463,Solyc01g091530.2.1,0.069580246
12148,Solyc07g016150.2.1,0.040018638
9210,Solyc05g012790.2.1,0.039321874
6010,Solyc03g097190.2.1,0.065268019
1366,Solyc01g090190.2.1,0.043281601
4297,Solyc02g086160.2.1,0.109461594
516,Solyc01g010050.2.1,0.063708831
3241,Solyc02g067180.2.1,0.043757612
5945,Solyc03g096000.2.1,0.051939206
1950,Solyc01g099760.2.1,0.029695277
2169,Solyc01g103590.2.1,0.224395018
10561,Solyc06g051200.2.1,0.417132395
13155,Solyc07g065210.2.1,0.059497284
17425,Solyc10g086180.1.1,0.047288087
2012,Solyc01g100520.2.1,0.175579667
1193,Solyc01g086750.2.1,0.04222291
8754,Solyc05g005190.2.1,0.067874417
12688,Solyc07g053260.2.1,0.03007694
16719,Solyc10g050860.1.1,0.042514256
9406,Solyc05g017950.2.1,0.050491951
7025,Solyc03g123630.2.1,0.043268979
5446,Solyc03g044150.2.1,0.058085563
20070,Solyc12g098890.1.1,0.454469085
8680,Solyc04g082420.2.1,0.217382199
188,Solyc01g005210.2.1,0.132465774
6367,Solyc03g114150.2.1,0.11493185
5203,Solyc03g025270.2.1,0.129847297
13681,Solyc08g041890.2.1,0.033089938
4525,Solyc02g089260.2.1,0.213484049
14195,Solyc08g076200.2.1,0.042620959
10000,Solyc05g055770.2.1,0.048061112
20157,Solyc12g100160.1.1,0.412368764
8014,Solyc04g071620.2.1,0.151006613
13190,Solyc07g065710.2.1,0.048521347
13767,Solyc08g061850.2.1,0.052192562
9437,Solyc05g018650.2.1,0.20849216
12939,Solyc07g062190.2.1,0.321885376
19595,Solyc12g043110.1.1,0.056287156
4086,Solyc02g083350.2.1,0.085373405
14994,Solyc09g009940.2.1,0.145889583
17235,Solyc10g083280.1.1,0.059741864
13680,Solyc08g041870.2.1,0.075724537
4628,Solyc02g090760.2.1,0.0980849
8985,Solyc05g008440.1.1,0.151780569
14829,Solyc09g007560.2.1,0.401804751
16186,Solyc10g005770.2.1,0.054680511
17136,Solyc10g081030.1.1,0.055028158
4977,Solyc03g005730.2.1,0.127341358
6390,Solyc03g114450.2.1,0.417117126
3496,Solyc02g070780.2.1,0.143356344
1028,Solyc01g079580.2.1,0.08147436
20074,Solyc12g098940.1.1,0.061666536
416,Solyc01g008370.2.1,0.032297918
214,Solyc01g005550.2.1,0.04626449
2683,Solyc01g111020.2.1,0.243018081
8679,Solyc04g082410.2.1,0.162381043
2743,Solyc01g111710.2.1,0.033205851
3112,Solyc02g063130.2.1,0.055593074
5811,Solyc03g083440.2.1,0.071401126
7264,Solyc04g008740.2.1,0.085769747
15679,Solyc09g075020.2.1,0.088066983
11505,Solyc06g075180.1.1,0.073798871
19107,Solyc12g009640.1.1,0.051227829
12395,Solyc07g042250.2.1,0.217779807
12460,Solyc07g043390.2.1,0.200557557
8840,Solyc05g006550.2.1,0.744198477
5715,Solyc03g080160.2.1,0.121428234
2092,Solyc01g102590.2.1,0.07159656
4153,Solyc02g084240.2.1,0.144672692
7782,Solyc04g051370.2.1,0.025030857
11263,Solyc06g071720.1.1,0.065246484
1224,Solyc01g087210.2.1,0.065361642
3232,Solyc02g067050.2.1,0.734330973
7715,Solyc04g049670.2.1,0.050279817
11896,Solyc07g005940.2.1,0.038103722
6927,Solyc03g121330.2.1,0.065257679
1655,Solyc01g095900.2.1,0.2536794
4018,Solyc02g082340.2.1,0.068747913
12869,Solyc07g056140.2.1,0.12145424
17415,Solyc10g086010.1.1,0.085223278
2518,Solyc01g108670.2.1,0.050263252
12915,Solyc07g061900.2.1,0.334630439
6440,Solyc03g115110.2.1,0.053998519
18611,Solyc11g069190.1.1,0.180419065
5188,Solyc03g020020.2.1,0.095904906
2511,Solyc01g108600.2.1,0.134259988
9457,Solyc05g023740.2.1,0.06384977
4131,Solyc02g083900.2.1,0.116242546
1337,Solyc01g088700.2.1,0.074619344
10485,Solyc06g048730.2.1,0.361531772
13687,Solyc08g042050.2.1,0.124228563
10494,Solyc06g048950.2.1,0.080972487
1056,Solyc01g079880.2.1,0.270084251
18628,Solyc11g069380.1.1,0.100825755
10638,Solyc06g053480.2.1,0.119213092
12188,Solyc07g018070.2.1,0.088284816
1539,Solyc01g094460.2.1,0.137114676
15531,Solyc09g065540.2.1,0.519097859
10130,Solyc06g005940.2.1,0.072383503
7321,Solyc04g009510.2.1,0.048600807
878,Solyc01g067390.2.1,0.064180148
4427,Solyc02g087870.2.1,0.149398142
9963,Solyc05g055230.1.1,0.091290755
413,Solyc01g008330.2.1,0.150017809
16042,Solyc09g092250.2.1,0.111256736
675,Solyc01g044360.2.1,0.026069432
11704,Solyc06g083190.2.1,0.049780156
20081,Solyc12g099030.1.1,0.0650173
13127,Solyc07g064890.1.1,0.059447396
4419,Solyc02g087760.2.1,0.053461414
4787,Solyc02g092980.2.1,0.185270476
18586,Solyc11g068820.1.1,0.201905542
4679,Solyc02g091580.2.1,0.031459145
1110,Solyc01g080640.2.1,0.041382549
